question,intent
What is the best bowling figure in an IPL final?,bowling
How many wickets did Ravindra Jadeja take against RCB?,bowling
Who has the lowest economy among spinners in IPL 2023?,bowling
What is Bhuvneshwar Kumar's economy in the powerplay?,bowling
Who has taken the most wickets in Super Overs?,bowling
How many runs did Harshal Patel concede in the death overs of IPL 2021?,bowling
Who is the most economical bowler across IPL history?,bowling
What is Arshdeep Singh's strike rate in IPL 2023?,bowling
Who took the most wickets as an uncapped player in IPL 2024?,bowling
How many wickets has Dwayne Bravo taken in his IPL career?,bowling
What is the bowling average of Mitchell Starc in IPL?,bowling
Who has bowled the most overs in IPL 2022?,bowling
Who took the most wickets against Mumbai Indians?,bowling
What is Ravi Bishnoi's economy rate in the powerplay?,bowling
Who has the best bowling strike rate in the death overs?,bowling
How many wickets did Pat Cummins take in IPL 2024?,bowling
Who conceded the most runs in a single IPL over?,bowling
What is Piyush Chawla's economy against right-handers?,bowling
Who has taken the most wickets in playoff matches?,bowling
How many wickets did Umran Malik take in his debut season?,bowling
What is Mustafizur Rahman's economy in the death overs?,bowling
Who has the best bowling figures against CSK?,bowling
How many wickets did Jasprit Bumrah take in the powerplay in IPL 2024?,bowling
Who has the most economical spell in IPL history?,bowling
What is Anrich Nortje's strike rate as a fast bowler?,bowling
Who took the most wickets while defending a low total?,bowling
How many wickets has Rashid Khan taken against Mumbai Indians?,bowling
Who has the best economy rate among Indian pacers?,bowling
What is Mohit Sharma's economy rate in the death overs?,bowling
Who took the most wickets in IPL 2018 among spinners?,bowling
How many wickets did Josh Hazlewood take in IPL 2024?,bowling
Who has bowled the most dot balls in the powerplay?,bowling
What is the average economy rate of left-arm spinners in IPL?,bowling
Who took the most wickets in a losing cause?,bowling
How many wickets did Noor Ahmad take in IPL 2024?,bowling
Who has the best strike rate among part-time bowlers?,bowling
What is Jofra Archer's economy rate in IPL?,bowling
Who has taken the most catches off his own bowling in IPL?,bowling
Who has taken the most wickets in IPL history?,bowling
Who has the best bowling economy this season?,bowling
Which bowler has the most five-wicket hauls?,bowling
Which bowler has the best strike rate this IPL season?,bowling
Which team won the most matches in IPL 2021?,team
How many matches did CSK win in IPL 2023?,team
Which team has the best win percentage in IPL history?,team
How many matches did RCB play in IPL 2022?,team
Which team scored the most runs in IPL 2024?,team
Which team conceded the fewest runs in IPL 2020?,team
How many matches has Mumbai Indians won overall?,team
Which team had the best batting performance in IPL 2019?,team
Which team had the best bowling attack in IPL 2023?,team
How did Rajasthan Royals perform in IPL 2022?,team
Which team has the most title wins?,team
How many matches did Delhi Capitals lose in IPL 2021?,team
Which team has the best net run rate in IPL 2024?,team
How many times has KKR made the playoffs?,team
Which team scored the highest total in IPL history?,team
What is Punjab Kings' win-loss record in IPL 2023?,team
Which team has the best home record?,team
How many matches did Gujarat Titans win in their debut season?,team
Which team had the best powerplay average in IPL 2022?,team
What is Sunrisers Hyderabad's record in away matches?,team
Which team has chased the highest target successfully?,team
How many matches did Lucknow Super Giants win in IPL 2023?,team
Which team has the worst win percentage in IPL history?,team
What is CSK's record in playoff matches?,team
Which team has scored the most centuries collectively?,team
How many matches did Mumbai Indians win by more than 50 runs?,team
Which team has the best death overs bowling economy?,team
What is RCB's record against MI?,team
Which team has qualified for the playoffs the most times?,team
How many matches did KKR win while defending a total?,team
Which team has the best record in Super Overs?,team
What is Delhi Capitals' win percentage at home?,team
Which team has the most successful run chases?,team
How many matches did SRH lose by less than 10 runs?,team
Which team has the best all-round bowling unit in IPL 2024?,team
What is Punjab Kings' record in must-win matches?,team
Which team has the highest average first-innings score?,team
How many matches did Rajasthan Royals win in IPL 2024?,team
Which team has the best strike rate in the powerplay collectively?,team
What is Gujarat Titans' record in their maiden IPL season?,team
Which team lost the most matches in IPL 2023?,team
How many matches has CSK won at Chepauk?,team
Which team has the best economy rate as a bowling unit?,team
What is Mumbai Indians' record in the second half of the season?,team
Which team has won the toss the most times in IPL history?,team
How many matches did LSG win batting second in IPL 2022?,team
Which team has the best record against KKR?,team
What is Rajasthan Royals' record in eliminator matches?,team
Which team has scored 200+ runs the most times?,team
How many matches did DC win by a margin of more than 5 wickets?,team
Which team has the strongest bowling attack in death overs across seasons?,team
What is SRH's record in the first innings versus second innings?,team
Which team has the best record in must-win playoff games?,team
How many matches has RCB lost after scoring 180+?,team
Which team has the most wins batting first?,team
What is KKR's overall win percentage across IPL seasons?,team
Which team scored the fewest runs in IPL 2021?,team
How many matches did GT win in the league stage of IPL 2023?,team
Which team has the best record in low-scoring matches?,team
What is CSK's overall performance across all IPL seasons?,team
Which team has the highest win percentage in IPL history?,team
Which team has won the most matches overall?,team
Which team has the best net run rate this season?,team
Which franchise has won the most IPL titles?,team
Which venue has the highest average score in IPL?,venue
What is the average score at Wankhede Stadium?,venue
Which team has won the most matches at Eden Gardens?,venue
Who has scored the most runs at Chinnaswamy Stadium?,venue
Who has taken the most wickets at Wankhede Stadium?,venue
What is the highest team score at Chepauk?,venue
How many IPL matches have been played at Arun Jaitley Stadium?,venue
Which venue is best for batting in IPL?,venue
Which venue has the lowest average first-innings score?,venue
What is Virat Kohli's record at Chinnaswamy?,venue
Which venue has hosted the most IPL finals?,venue
What is the highest successful run chase at Wankhede?,venue
Which venue has the best record for teams batting second?,venue
How many centuries have been scored at Eden Gardens?,venue
What is the average first-innings total at Narendra Modi Stadium?,venue
Which venue has seen the most Super Overs?,venue
Who has the best bowling record at Chepauk?,venue
What is the lowest total defended at any IPL venue?,venue
Which venue favors spinners the most?,venue
How many sixes have been hit at Wankhede Stadium?,venue
What is the highest individual score at Eden Gardens?,venue
Which venue has the most matches decided by a Super Over?,venue
What is MS Dhoni's record at Chepauk?,venue
Which venue has the best average for teams batting first?,venue
How many matches has Wankhede hosted in total?,venue
What is the win percentage of the home team at Chinnaswamy?,venue
Which venue has the highest boundary count per match?,venue
What is the average score at Narendra Modi Stadium in day matches?,venue
Which venue is toughest for batting in IPL history?,venue
How many wickets have fallen in the powerplay at Chepauk?,venue
What is the record for the highest team total at Arun Jaitley Stadium?,venue
Which venue has hosted the most Qualifier matches?,venue
What is the average economy rate of pacers at Wankhede?,venue
Which venue has the most matches won while chasing?,venue
What is the highest partnership recorded at Eden Gardens?,venue
Which stadium has the best dew factor for chasing teams?,venue
How many matches at Chinnaswamy have crossed 400 combined runs?,venue
What is the average score in day-night matches at Wankhede?,venue
Which venue has the fewest boundaries per match on average?,venue
What is Sunrisers Hyderabad's home record at Rajiv Gandhi Stadium?,venue
Which venue has recorded the most hat-tricks?,venue
What is the toss-win percentage at Chepauk?,venue
Which venue has the best record for defending under 150?,venue
How many centuries have been scored at Wankhede Stadium?,venue
What is the average death overs economy at Eden Gardens?,venue
Which venue has the most matches with a margin under 5 runs?,venue
What is the highest score chased down at Chinnaswamy?,venue
Which venue has the best record for spin-friendly pitches?,venue
How many IPL finals have been held at Narendra Modi Stadium?,venue
What is the average powerplay score at Arun Jaitley Stadium?,venue
Which venue has the most sixes hit in a single season?,venue
What is the record for the lowest team total at any IPL venue?,venue
Which venue has hosted the most matches overall in IPL history?,venue
What is the average score at Sawai Mansingh Stadium?,venue
Which venue has the best record for the toss-winning team?,venue
How many Super Overs have occurred at Wankhede?,venue
What is the bowling economy of spinners at Chepauk?,venue
Which venue has the highest number of centuries scored?,venue
What is the average first-innings score across all IPL venues?,venue
Which venue has the best home advantage for the host team?,venue
Which venue has hosted the most matches in IPL history?,venue
Which stadium has the highest average first-innings score?,venue
Which venue has the best record for teams defending a total?,venue
Who won IPL 2016?,season
Who was the runner-up in IPL 2019?,season
How many teams played in IPL 2011?,season
How many matches were played in IPL 2022?,season
Who won the Orange Cap in IPL 2018?,season
Who won the Purple Cap in IPL 2021?,season
What was the highest team score in IPL 2013?,season
Which team won IPL 2015?,season
Who was the Player of the Tournament in IPL 2023?,season
What was the final match of IPL 2020?,season
Who won the Emerging Player award in IPL 2022?,season
How many centuries were scored across IPL 2016?,season
Who won the eliminator in IPL 2019?,season
What was the points table standing after the league stage of IPL 2021?,season
Which team finished last in IPL 2017?,season
Who won the Most Valuable Player award in IPL 2020?,season
How many teams qualified for the playoffs in IPL 2022?,season
What was the format of IPL 2020 due to relocation?,season
Who won the toss in the IPL 2019 final?,season
Which team topped the points table in IPL 2018?,season
Who was awarded the Best Fielder in IPL 2023?,season
How many matches ended in a Super Over in IPL 2020?,season
"Who won IPL 2008, the inaugural season?",season
What was the margin of victory in the IPL 2021 final?,season
Who won Man of the Match in the IPL 2022 final?,season
Which team had the most wins in the league stage of IPL 2023?,season
Who was the highest run scorer of IPL 2014?,season
Who was the leading wicket taker of IPL 2017?,season
How many total sixes were hit in IPL 2019?,season
What was the venue for the IPL 2022 final?,season
Who captained the winning team in IPL 2013?,season
How many double centuries have been scored across all IPL seasons?,season
What was the Qualifier 2 result in IPL 2021?,season
Who won the Best Young Player award in IPL 2016?,season
Which season had the most Super Overs?,season
What was the total prize money for IPL 2023?,season
Who was announced Player of the Match the most times in a single season?,season
Which season introduced the Impact Player rule?,season
Who won IPL 2024?,season
What was the auction highlight of IPL 2022?,season
Which team was eliminated first in IPL 2021?,season
How many new franchises joined the IPL in 2022?,season
What was the record for most runs scored in a single IPL season?,season
Who was the youngest Orange Cap winner?,season
Which season had the highest average runs per match?,season
What was the impact of the mega auction on IPL 2022 team compositions?,season
Who won the eliminator between RCB and LSG in IPL 2023?,season
How many matches were abandoned due to rain in IPL 2022?,season
What was the final standings table for IPL 2019?,season
Which team retained the most players ahead of IPL 2022?,season
Who was the Purple Cap winner in IPL 2016?,season
How many hat-tricks were recorded across all IPL 2023 matches?,season
Which season had the closest points table race?,season
Who won the toss and elected to bowl first in the IPL 2020 final?,season
What was the total attendance for IPL 2023?,season
Which season saw the most 200+ totals?,season
Who was declared Player of the Series in IPL 2018?,season
What was the qualifying scenario for CSK in IPL 2023?,season
Who won Qualifier 1 in IPL 2022?,season
Which team had the best net run rate across IPL 2021?,season
Which IPL season had the most centuries scored?,season
Which IPL season had the highest average team score?,season
Which season had the most Super Over finishes?,season
Virat Kohli vs Jasprit Bumrah head to head,matchup
How does Rohit Sharma perform against Rashid Khan?,matchup
CSK vs MI head to head record,matchup
How many times has RCB beaten KKR?,matchup
What is the head-to-head record between MI and SRH?,matchup
Kohli vs Chahal in IPL matches,matchup
Who has the advantage between Dhoni and Bumrah?,matchup
How many runs has Warner scored against Mumbai Indians bowlers?,matchup
What is Rashid Khan's record against RCB?,matchup
"Which team has won more matches, RR or PBKS?",matchup
AB de Villiers vs Yuzvendra Chahal record,matchup
How many wickets has Bumrah taken against CSK?,matchup
What is the head-to-head record between DC and GT?,matchup
Suryakumar Yadav vs spinners in IPL,matchup
How many times has Dhoni's team beaten Kohli's team?,matchup
What is Rohit Sharma's strike rate against Sunil Narine?,matchup
CSK vs KKR win-loss record,matchup
Who dominates the CSK vs RCB rivalry?,matchup
How does Andre Russell perform against left-arm pacers?,matchup
What is the head-to-head record between LSG and GT?,matchup
How many runs has Kohli scored against Rashid Khan?,matchup
RCB vs SRH head-to-head record,matchup
What is Jasprit Bumrah's economy against Virat Kohli?,matchup
Which team has the upper hand between MI and RR?,matchup
How does David Warner perform against Mumbai Indians?,matchup
What is the record between Punjab Kings and CSK?,matchup
Rishabh Pant vs Rashid Khan matchup stats,matchup
How many times has KKR beaten SRH?,matchup
What is the head-to-head record between GT and CSK?,matchup
How does Faf du Plessis perform against left-arm spinners?,matchup
"Who has the batting edge, Gill or Kohli, in run-scoring?",matchup
What is MI's win percentage against KKR?,matchup
How does Rashid Khan perform against left-handed batsmen?,matchup
What is the head-to-head record between RR and DC?,matchup
How many wickets has Chahal taken against Rohit Sharma?,matchup
RCB vs LSG head-to-head record,matchup
What is Dhoni's strike rate against spinners in the finishing overs?,matchup
"Who has won more encounters, PBKS or RCB?",matchup
How does Mohammed Shami perform against Chennai Super Kings?,matchup
What is the head-to-head record between SRH and GT?,matchup
Kohli vs Bumrah in the death overs,matchup
How many runs has ABD scored against CSK bowlers?,matchup
Which team leads the head-to-head against Delhi Capitals?,matchup
What is Buttler's record against spin in matchups vs RCB?,matchup
How does Hardik Pandya perform against MI as an opponent?,matchup
What is the win-loss record between KKR and LSG?,matchup
Rashid Khan vs Suryakumar Yadav head to head,matchup
What is CSK's record against Gujarat Titans?,matchup
How does Bumrah bowl against left-handed openers?,matchup
Which team has a losing record against Mumbai Indians?,matchup
What is the head-to-head record between RCB and GT?,matchup
How many times has Warner's team beaten Kohli's team?,matchup
What is Chahal's economy against Suresh Raina?,matchup
RR vs LSG head-to-head record,matchup
Who has more wins in the CSK vs SRH rivalry?,matchup
What is Kohli's average against spin bowlers from KKR?,matchup
How does Jos Buttler perform against Bumrah?,matchup
What is the head-to-head record between PBKS and DC?,matchup
Which bowler has dismissed Rohit Sharma the most times?,matchup
MI vs GT head-to-head record,matchup
"Who has scored more runs against Bumrah, Kohli or Rohit?",matchup
Which bowler has dismissed Kohli the most times?,matchup
"Who has a better strike rate against pace, Rohit or Warner?",matchup
Who is Virat Kohli?,rag
Tell me about MS Dhoni's career.,rag
Who is Shane Warne?,rag
Why is MS Dhoni famous?,rag
Explain the significance of the Orange Cap.,rag
Explain the Purple Cap award.,rag
What is the history of the IPL?,rag
How was the IPL started?,rag
Tell me about Jasprit Bumrah's career journey.,rag
What makes AB de Villiers famous?,rag
Explain how the IPL auction works.,rag
Who founded the Indian Premier League?,rag
What is the significance of the Mumbai Indians franchise?,rag
Tell me about Sachin Tendulkar's role in IPL.,rag
What is the story behind CSK's yellow jersey?,rag
Explain the retention rules in IPL auctions.,rag
Who was the first captain of Chennai Super Kings?,rag
Tell me about the 2013 IPL spot-fixing scandal.,rag
What is the Impact Player rule in IPL?,rag
Explain the concept of a mega auction in IPL.,rag
Who is considered the greatest finisher in IPL history?,rag
What is the history behind the Kolkata Knight Riders franchise?,rag
Tell me about Lalit Modi's role in founding IPL.,rag
Why was IPL 2020 held in the UAE?,rag
What is the significance of Eden Gardens in IPL history?,rag
Explain the format changes IPL has undergone over the years.,rag
Who is Andre Russell and why is he popular?,rag
Tell me about the rivalry between CSK and MI.,rag
What is the history of Rajasthan Royals winning IPL 2008?,rag
Explain the concept of Right to Match cards in IPL auctions.,rag
Who are the most successful captains in IPL history?,rag
Tell me about Gautam Gambhir's captaincy legacy.,rag
What is the background of the Gujarat Titans franchise?,rag
Explain how team salary caps work in IPL.,rag
Who is Sunil Narine known for his all-round skills?,rag
Tell me about the history of the Purple Cap award.,rag
What led to the introduction of DRS in IPL?,rag
Explain the concept of a strategic timeout in IPL.,rag
Who is regarded as the best captain in IPL history?,rag
Tell me about the origins of the Royal Challengers Bangalore franchise.,rag
What is the significance of the number 7 jersey for MS Dhoni?,rag
Explain how the IPL playoff format works.,rag
Who is Rashid Khan and why is he a valuable T20 player?,rag
Tell me about the history of Punjab Kings franchise ownership.,rag
What is the story of Yusuf Pathan's rise in IPL?,rag
Explain the concept of the overseas player quota in IPL.,rag
Who was the costliest player ever bought in an IPL auction?,rag
Tell me about the founding teams of the original IPL season.,rag
What is the legacy of Rahul Dravid as a mentor in IPL?,rag
Explain why Chennai Super Kings were banned for two seasons.,rag
Who is the current captain of RCB?,tavily
What is the latest IPL news today?,tavily
What happened in the latest IPL auction?,tavily
Which players were retained ahead of IPL 2026?,tavily
Which players were released before the IPL 2026 auction?,tavily
Is Jasprit Bumrah injured currently?,tavily
What is the latest injury update on Rishabh Pant?,tavily
Who was recently appointed as CSK's head coach?,tavily
What are the latest IPL points table standings?,tavily
What happened in today's IPL match?,tavily
What are today's IPL updates?,tavily
Who is the current owner of Lucknow Super Giants?,tavily
What is the latest news on the IPL 2026 schedule?,tavily
Which team recently signed a new sponsor?,tavily
What is the current squad list for Mumbai Indians?,tavily
Who was recently traded before the IPL season started?,tavily
What is the latest update on the IPL mega auction?,tavily
Who is currently leading the Orange Cap race?,tavily
What is the latest news about IPL broadcast rights?,tavily
Which player recently announced retirement from IPL?,tavily
What is the current playing XI for CSK today?,tavily
Who was appointed captain of Punjab Kings recently?,tavily
What is the latest weather forecast affecting today's IPL match?,tavily
Which stadium is hosting the IPL final this year?,tavily
What is the recent news about IPL ticket prices?,tavily
Who is the current highest-paid player in IPL?,tavily
What are the latest updates on IPL 2026 team combinations?,tavily
Which player was ruled out due to injury today?,tavily
What is the current status of the toss for today's match?,tavily
Who recently broke a batting record in IPL 2026?,tavily
What is the latest controversy in the ongoing IPL season?,tavily
Which umpires are officiating today's IPL match?,tavily
What is the current live score of the IPL match?,tavily
Who was the latest replacement player signed mid-season?,tavily
What is the recent update on IPL 2026 venue changes?,tavily
Which franchise recently changed its jersey design?,tavily
What is the latest news on IPL streaming platforms?,tavily
Who is currently the leading wicket taker this season?,tavily
What is the recent statement from the BCCI about IPL scheduling?,tavily
Which player recently tested positive for a doping violation?,tavily
What is the latest transfer news before IPL 2026?,tavily
Who was announced as Player of the Match today?,tavily
What is the current net run rate standing today?,tavily
Which player recently signed with a new IPL franchise?,tavily
What are today's playing conditions and pitch report?,tavily
Who is currently injured and out of IPL 2026?,tavily
What is the latest news on IPL sponsorship deals?,tavily
Which team recently appointed a new bowling coach?,tavily
What is the current squad update for Gujarat Titans?,tavily
Who won today's IPL match?,tavily
Who is the best all-rounder in IPL?,tavily
Who is the greatest all-rounder in IPL history?,tavily
Who is considered the best IPL all-rounder?,tavily
Which IPL player is the best all-rounder?,tavily
Who is the greatest all-rounder in IPL 2026?,tavily
Tell me about the best all-rounders in IPL.,tavily
Who are the top all-rounders in IPL history?,tavily
best player,tavily
greatest player,tavily
most impactful player,tavily
most valuable player,tavily
best performer,tavily
complete player,tavily
Who is the most underrated player?,tavily
Who is the most dangerous batsman?,tavily
Which players are famous for their all-round abilities?,tavily
Who is the best all-rounder in IPL based on overall reputation?,tavily
Which IPL player is known as the best all-rounder?,tavily
Who are recent regular players in each format and altogether,tavily
Who were the umpires for 31st March 2018?,tavily
Who are the commentators in the first innings of the match played on 10th April 2024?,tavily
Oldest player in IPL,tavily
Who were the commentators of the last season?,tavily
Who is the best batsman in IPL?,tavily
Who is the greatest batsman of all time in IPL?,tavily
Who is the most complete batsman in IPL?,tavily
Who is the most valuable batsman this season?,tavily
Who is the best finisher in IPL?,tavily
Who is the most exciting batsman to watch in IPL?,tavily
Who has the best batting technique in IPL?,tavily
Which batsman deserves more recognition than he gets?,tavily
Who is the best bowler in IPL?,tavily
Who is the greatest bowler in IPL history?,tavily
Who is the most feared bowler in IPL?,tavily
Who is the most valuable bowler in IPL?,tavily
Who is the best death-overs bowler according to experts?,tavily
Who is the most complete bowling attack in IPL?,tavily
Which bowler has the best temperament under pressure?,tavily
Which is the greatest IPL team of all time?,tavily
Which is the most successful IPL franchise ever?,tavily
Which team has the best fanbase in IPL?,tavily
Which is the most balanced IPL squad?,tavily
Which team is considered the strongest this season?,tavily
Which franchise is the most iconic in IPL history?,tavily
Which venue is the most iconic in IPL history?,tavily
Which stadium has the best atmosphere in IPL?,tavily
Which venue do players enjoy playing at the most?,tavily
Which stadium has the most passionate crowd?,tavily
Which was the best IPL season ever?,tavily
Which IPL season is considered the most exciting?,tavily
Who was the standout player of the best IPL season?,tavily
Which season had the most memorable finish?,tavily
"Who is better, Kohli or Rohit?",tavily
Who would win in a battle between Bumrah and Kohli?,tavily
"Who is a tougher opponent, Rashid Khan or Chahal?",tavily
"Who has the edge in reputation, Dhoni or Kohli?",tavily
Who is the most valuable player in IPL 2026?,tavily
Who deserves the Most Valuable Player award this season?,tavily
Who is the emerging player of IPL 2026?,tavily
Who is the most promising young talent in IPL?,tavily
Which uncapped player impressed experts the most this season?,tavily
What is the capital of India?,out_of_scope
Write Python code to sort a list.,out_of_scope
What is machine learning?,out_of_scope
Who won the FIFA World Cup 2022?,out_of_scope
What is the weather today?,out_of_scope
Write me a birthday message.,out_of_scope
How do I make pasta?,out_of_scope
What is the population of the United States?,out_of_scope
Explain quantum computing.,out_of_scope
Who is the Prime Minister of the UK?,out_of_scope
Give me a recipe for chocolate cake.,out_of_scope
What is the meaning of life?,out_of_scope
Translate this sentence into French.,out_of_scope
What is the stock price of Tesla today?,out_of_scope
How do I fix a bug in my Java code?,out_of_scope
What is the largest ocean in the world?,out_of_scope
Recommend me a good movie to watch tonight.,out_of_scope
What is the boiling point of water?,out_of_scope
Write a poem about the ocean.,out_of_scope
What are the rules of chess?,out_of_scope
How do I improve my resume?,out_of_scope
What is the distance between the Earth and the Moon?,out_of_scope
Suggest some good books to read this year.,out_of_scope
What is the GDP of India?,out_of_scope
How do I learn to play the guitar?,out_of_scope
What is the tallest mountain in the world?,out_of_scope
Give me tips for a job interview.,out_of_scope
What is the currency of Japan?,out_of_scope
How does photosynthesis work?,out_of_scope
What is a good workout routine for beginners?,out_of_scope
Who won the Nobel Prize in Physics last year?,out_of_scope
What is the plot of the movie Inception?,out_of_scope
How do I set up a home Wi-Fi network?,out_of_scope
What is the speed of light?,out_of_scope
Who is the CEO of Apple?,out_of_scope
Give me some tips for better sleep.,out_of_scope
What is the history of the Roman Empire?,out_of_scope
How do I convert Celsius to Fahrenheit?,out_of_scope
What is the difference between a virus and a bacteria?,out_of_scope
Suggest a name for my new startup.,out_of_scope
What is the tax rate in India for salaried employees?,out_of_scope
How do airplanes fly?,out_of_scope
What is the best programming language to learn in 2026?,out_of_scope
Who won the football World Cup?,out_of_scope
What is the population of China?,out_of_scope
Give me a summary of World War II.,out_of_scope
How do I bake bread from scratch?,out_of_scope
What is the exchange rate between USD and INR?,out_of_scope
Write a short story about a dragon.,out_of_scope
What is the national bird of India?,out_of_scope
